Number_of_Customers,Number_of_Views,Product_Category,Stock_Level,Historical_Price,Competitor_Price,Seasonality_Index,Discount_Offered,Rating,adjusted_price
152,862,Electronics,107,375.63572115679426,439.7323067929914,1.2,0.0,2.2535323211842666,634.4069957314747
485,996,Electronics,388,178.84605938321988,291.98570560528117,1.0,0.1,2.442130973380748,222.98287609476
398,216,Electronics,424,376.6149259532291,326.56105183582724,0.8,0.1,2.362573391542173,282.15104099648977
320,727,Beauty,446,454.7466703342818,151.54335531736905,0.8,0.3,3.132644250347636,260.43657182455513
156,848,Clothing,405,491.00283133077363,120.65232748477736,0.8,0.3,1.9905269012264086,150.92894913812944
121,577,Clothing,67,186.3066438616304,356.87357209496923,0.8,0.0,3.0665684541270166,265.2129871442032
238,204,Beauty,431,190.08765897386766,339.0670866806939,1.2,0.0,4.66496524464329,125.66906343272362
70,594,Clothing,65,490.87999102457877,70.11244361344285,0.8,0.1,2.6238553154481554,416.50423480873354
152,870,Home,143,432.1487838460388,126.93427771981871,1.2,0.1,1.8905842578461174,547.3884595383158
171,145,Clothing,463,32.095066236575235,473.822135370403,0.8,0.0,2.3874235825462797,9.46251090767994
264,922,Home,52,290.99049325099503,159.04693851045843,0.8,0.3,4.507549178017559,1159.5696636718897
380,430,Home,127,98.80993805873477,22.65744005649703,1.2,0.1,4.76679169368202,352.0104043342426
137,315,Home,469,497.06614268567705,41.25320490478008,1.0,0.0,4.546747572673579,144.8894926551867
422,591,Beauty,490,78.07227606177712,389.9924505054674,1.2,0.0,2.1493904454184936,80.52097881402022
149,912,Clothing,320,284.0803301460046,381.0062854370975,1.0,0.0,2.5513820546849617,131.86283237306756
409,944,Clothing,206,335.9472013142997,197.0953620225937,1.2,0.1,4.8997352981351,796.5356831162236
201,548,Beauty,319,469.1616807804876,85.06838045777536,1.0,0.3,2.295409242670707,294.69218074024377
180,635,Beauty,215,425.1565727056516,254.07155628994104,0.8,0.1,1.5514395383789608,283.43771513710107
199,610,Clothing,67,130.41983795061367,172.625441058028,1.0,0.3,2.1283768172442734,381.6698198848841
358,557,Beauty,446,290.5857361333272,193.24449046961627,1.0,0.1,4.855910101759745,232.72862088530457
307,646,Beauty,61,477.2512393738828,137.88282350310197,0.8,0.0,2.6635018019359227,1890.530715971381
393,635,Home,209,370.50125508141946,40.80037722763461,0.8,0.0,4.73552775972002,554.6933076076109
463,639,Beauty,336,347.28481070614794,397.6680456526782,1.0,0.2,1.4163288577261959,477.1301701986543
343,583,Home,326,379.9015288477667,312.9282041666278,1.0,0.0,4.0642222888550705,398.4899828586666
435,115,Electronics,369,168.0280326040317,418.97121064709813,1.2,0.3,1.373373589124605,237.0557649170393
241,670,Home,428,367.3336120075857,256.5689689179603,0.8,0.0,1.7899828987851416,165.08606152695228
493,342,Home,51,124.0988282089888,492.6434531615007,0.8,0.2,3.464408965380464,941.2418816466381
326,306,Beauty,115,219.77035774479916,481.6372056082566,0.8,0.0,2.7379126475973536,494.10439051589333
210,370,Clothing,380,446.0651204223682,143.1739086773057,1.2,0.0,3.6666970113753323,295.0351977596766
363,860,Electronics,457,19.29586178046834,199.61869253194965,1.2,0.1,4.893625168186678,18.352134042733642
71,878,Electronics,382,213.01613862364988,378.82761235567216,1.0,0.3,1.2108549068939705,39.48863144198209
302,804,Electronics,64,140.7426657021392,390.5356963691101,1.2,0.2,1.766506687817925,784.6944930839268
285,946,Clothing,129,107.30891208186861,456.24257675770957,1.2,0.1,3.5608956901558892,282.3049840923005
394,829,Electronics,176,420.901956521531,329.7905784651042,1.2,0.2,4.586105800761592,1124.3075991151406
98,214,Electronics,277,351.28430069403925,242.80927868747142,0.8,0.0,4.190591640175395,99.06722724608876
108,679,Clothing,479,65.19003300162606,195.0492593307798,1.0,0.2,2.862329942200268,14.667757425365865
219,398,Electronics,412,252.28702998558282,215.39749018454094,1.2,0.1,3.98189870033775,160.53518518210933
237,936,Beauty,162,238.78382819528446,426.69852401809777,1.2,0.0,1.8323902441325726,416.6265075996252
